AMOSTRAGEM 0
Origem - Destino ['193S7', '2S28']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.50999999046
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.36500000954
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.14400005341
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.56999993324
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.4240000248
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.10599994659
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(['155S9', '183S4', '141S8', '253S9', '432S2', '151S2', '151S3', '432S3', '181S8', '181S9', '181S10', '432S5', '141S7', '151S6', '151S7', '151S8', '151S9', '151S10', '61S24', '65S6', '151S12', '151S13', '159S5', '159S6', '151S14', '65S9', '247S10', '247S11', '159S7', '159S8', '159S9', '159S10', '159S11', '159S12', '205S17', '495S0', '205S15', '495S2', '216S23', '216S24', '216S25', '216S26', '113S9', '159S18', '159S19', '159S20', '101S0', '101S1', '101S2', '113S4', '101S4', '101S5', '159S23', '159S24', '101S6', '101S7', '101S8', '70S0', '216S33', '216S34', '216S35', '216S36', '216S37', '101S11', '101S12', '101S13', '101S14', '625S6', '625S7'], 25.81660180714458) - Time:6.20600008965
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.53099989891
Origem - Destino ['159S12', '11S13']
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.77400016785
Otimizacao Distancia - Ants:47 - Init pheromone:0.000409162456416 - Alpha:0.684345570227 - Beta:4 - Evaporation:0.233349531905 - Result:(None, None) - Time:6.82699990273
