AMOSTRAGEM 0
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.9430000782
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.99199986458
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.19099998474
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.29400014877
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.05900001526
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.05900001526
Origem - Destino ['8S14', '260S2']
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.74799990654
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.4960000515
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.89499998093
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.875
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.30200004578
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.23199987411
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.20900011063
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.41199994087
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.91900014877
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.94899988174
Origem - Destino ['196S18', '246S5']
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.16300010681
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:3.19799995422
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.86199998856
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.55400013924
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.77899980545
Otimizacao Distancia - Ants:21 - Init pheromone:0.000868488203441 - Alpha:0.340217628253 - Beta:6 - Evaporation:0.457115704479 - Result:(None, None) - Time:2.69100022316
