stop_id,stop_name,stop_desc,stop_lat,stop_lon
174S10,R 174 174S10,CENTRAL CAMIONERA DEL NORTE - SAN MARTÍN DE LAS PIRAMIDES 174S10,19.659885405561457,-98.8733301563998
245S9,R 245 245S9,POTRERO (METRO) - TIZAYUCA 245S9,19.659541976708248,-99.00767564426943
196S0,R 196 196S0,EJE 3 - CUATRO CAMINOS (METRO) 196S0,19.659489059539794,-99.08410457335737
244S22,R 244 244S22,INDIOS VERDES (METRO) - PRADOS 244S22,19.658783836182593,-99.08050511492071
504S31,R 504 504S31,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S31,19.658538820883454,-99.07931283778323
535S20,R 535 535S20,INDIOS VERDES (METRO) - PRADOS-ALBORADA 535S20,19.658044148639853,-99.068835594968
244S21,R 244 244S21,INDIOS VERDES (METRO) - PRADOS 244S21,19.6577943,-99.07585329999999
340S31,R 340 340S31,EL ROSARIO (METRO) - VILLA DE LAS FLORES 340S31,19.656768153290276,-99.09475416395273
504S30,R 504 504S30,MARTÍN CARRERA (METRO) - PRADOS NORTE 504S30,19.656636544845895,-99.07603318750432
614S0,R 119 614S0,EL ROSARIO (METRO) - SAN ANTONIO 614S0,19.656422670134255,-99.16326585338099
179S0,R 179 179S0,VILLA DE LAS FLORES - LA RAZA (METRO) 179S0,19.656133934719673,-99.09022080754198
174S9,R 174 174S9,CENTRAL CAMIONERA DEL NORTE - SAN MARTÍN DE LAS PIRAMIDES 174S9,19.655703420497957,-98.87768946697045
535S19,R 535 535S19,INDIOS VERDES (METRO) - PRADOS-ALBORADA 535S19,19.6555154025216,-99.06725280131394
462S9,R 462 462S9,MARTÍN CARRERA (METRO) - SAN MIGUEL BOCA NEGRA 462S9,19.655114478671276,-99.0611488466038
553S0,R 553 553S0,VILLA DE LAS FLORES - BOULEVARD PUERTO AÉREO (METRO) 553S0,19.654553835820813,-99.09072027008712
179S1,R 179 179S1,VILLA DE LAS FLORES - LA RAZA (METRO) 179S1,19.654084985147627,-99.09570158126105
614S1,R 119 614S1,EL ROSARIO (METRO) - SAN ANTONIO 614S1,19.65393834945127,-99.1638085073015
244S20,R 244 244S20,INDIOS VERDES (METRO) - PRADOS 244S20,19.653786782550757,-99.0764461461935
340S30,R 340 340S30,EL ROSARIO (METRO) - VILLA DE LAS FLORES 340S30,19.653764842435134,-99.09546221843604
179S2,R 179 179S2,VILLA DE LAS FLORES - LA RAZA (METRO) 179S2,19.651411138761976,-99.09633177361846
11S0,R 11 11S0,CUAUTITLAN IZCALI CAMPO 1 - POLITÉCNICO (METRO) 11S0,19.650762830769064,-99.20568309481402
318S10,R 318 318S10,LA RAZA (METRO) - TECÁMAC 318S10,19.650537300000003,-99.0125504
244S19,R 244 244S19,INDIOS VERDES (METRO) - PRADOS 244S19,19.65039893505607,-99.0769390493272
363S13,R 363 363S13,MARTÍN CARRERA (METRO) - EL CARMEN 363S13,19.65029431887548,-99.0050758935278
