shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
146SH,19.482011631678308,-99.18378542644352,3762
146SH,19.48222480110839,-99.1849286185853,3763
146SH,19.482259381376938,-99.18511650276386,3764
146SH,19.48230957026297,-99.1853985312743,3765
146SH,19.482326667443854,-99.18549677025803,3766
147SH,19.41674035210903,-99.09033846427018,3767
147SH,19.417971409495525,-99.09354378456979,3768
147SH,19.417961588345197,-99.09352521549431,3769
147SH,19.415591632488812,-99.08969063234646,3770
147SH,19.414020825919735,-99.08668111663643,3771
147SH,19.412811971337185,-99.08457453913856,3772
147SH,19.395197940279562,-99.05413585475142,3773
147SH,19.389598741678494,-99.04369428042459,3774
147SH,19.381645,-99.02973999999999,3775
147SH,19.37842359129022,-99.02429455527222,3776
147SH,19.364098553694166,-99.00512244999982,3777
147SH,19.364021780958833,-99.00502810464467,3778
147SH,19.364021780958833,-99.00502810464467,3779
147SH,19.3602106,-98.9996049,3780
147SH,19.345717193186477,-98.9813305874116,3781
147SH,19.34498184926569,-98.9805391163062,3782
147SH,19.3399745505497,-98.97654003708847,3783
147SH,19.335410480611532,-98.97243569186449,3784
147SH,19.319569419083386,-98.95365929881282,3785
147SH,19.317067170143858,-98.95079317152745,3786
147SH,19.310667896450397,-98.94317342592318,3787
147SH,19.3050252221701,-98.9364140400995,3788
147SH,19.304396322971918,-98.93565718955753,3789
147SH,19.296362282802193,-98.926238326132,3790
147SH,19.292690508686114,-98.88504557071926,3791
147SH,19.288141499999995,-98.8802497,3792
147SH,19.27169498419249,-98.89022523835646,3793
147SH,19.270757200612554,-98.89142344932367,3794
147SH,19.263403,-98.8998628,3795
147SH,19.255215396441127,-98.90336075854292,3796
147SH,19.252787974605997,-98.90446314126247,3797
148SH,19.32363175903726,-99.17372948850705,3798
148SH,19.324132195058244,-99.17367875095289,3799
148SH,19.32819362724032,-99.17336924361385,3800
148SH,19.304080495539427,-99.180328879506,3801
148SH,19.30419205309961,-99.199918988386,3802
148SH,19.30508946052572,-99.2022150122245,3803
148SH,19.2966900775122,-99.21387072077432,3804
148SH,19.27169300420114,-99.20987901513296,3805
148SH,19.272443919860585,-99.21178050927018,3806
148SH,19.270091613683718,-99.21196919741271,3807
148SH,19.267239039113264,-99.20664019856116,3808
149SH,19.426600644887486,-99.10947958678722,3809
149SH,19.426600644887486,-99.10947958678722,3810
149SH,19.425906731450365,-99.10811365442368,3811
149SH,19.425580962734387,-99.10746132041726,3812
149SH,19.42475995290691,-99.10580706763353,3813
149SH,19.420830958668372,-99.0981462718614,3814
149SH,19.420617773608935,-99.09786576148838,3815
149SH,19.420433970621787,-99.09761631804233,3816
149SH,19.42024276702102,-99.09734325975796,3817
149SH,19.420198838099857,-99.09728052494177,3818
149SH,19.420078963392214,-99.09710933240851,3819
149SH,19.419776499999998,-99.0966162,3820
149SH,19.412970241891422,-99.08484259106976,3821
149SH,19.410163854018588,-99.07997227479186,3822
149SH,19.398488604345093,-99.05924202373176,3823
149SH,19.396229680055242,-99.05530412228286,3824
149SH,19.392561371598887,-99.04886262104849,3825
